id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
127,Nascar Gen 4,NASCAR Gen 4 Chevrolet Monte Carlo - 2003,4087,NASCAR Gen 4 Chevrolet Monte Carlo - 2003,Iracing,Oval,,No,stockcars\chevymontecarlo03,201,
128,Nascar Gen 4,NASCAR Gen 4 Ford Taurus - 2003,4087,NASCAR Gen 4 Ford Taurus - 2003,Iracing,Oval,,No,stockcars\fordtaurus03,202,
129,NASCAR Legends,NASCAR Legends Buick LeSabre - 1987,2269,,Iracing,,,No,stockcars\buicklesabre87,154,
130,NASCAR Legends,NASCAR Legends Chevrolet Monte Carlo - 1987,2269,,Iracing,,,No,stockcars\chevymontecarlo87,124,
131,NASCAR Legends,NASCAR Legends Ford Thunderbird - 1987,2269,,Iracing,,,No,stockcars\fordthunderbird87,125,
132,NASCAR Legends,NASCAR Legends Pontiac Grand Prix - 1987,2269,,Iracing,,,No,stockcars\pontiacgrandprix87,175,
133,NASCAR Truck,NASCAR Truck Chevrolet Silverado,71,NASCAR Truck Chevrolet Silverado,Iracing,Oval,,No,trucks\silverado2019,111,
134,NASCAR Truck,NASCAR Truck Ford F150,71,NASCAR Truck Ford F150,Iracing,Oval,,No,trucks\fordf150,123,
135,NASCAR Truck,NASCAR Truck Toyota Tundra TRD Pro,71,NASCAR Truck Toyota Tundra TRD Pro,Iracing,Oval,,No,trucks\toyotatundra2022,155,
136,NASCAR Whelen Tour Modified,NASCAR Whelen Tour Modified,2,,Iracing,,,No,skmodified\tour,31,
137,Nascar O'reilly Auto Parts,NASCAR O'reilly Chevrolet Camaro,1455,NASCAR O'reilly Chevrolet Camaro,Iracing,Oval,,No,stockcars2\camaro2019,114,
138,Nascar O'reilly Auto Parts,NASCAR O'reilly Ford Mustang,1455,NASCAR O'reilly Ford Mustang,Iracing,Oval,,No,stockcars2\mustang2019,115,
139,Nascar O'reilly Auto Parts,NASCAR O'reilly Toyota Supra,1455,NASCAR O'reilly Toyota Supra,Iracing,Oval,,No,stockcars2\supra2019,116,
140,Nissan GTP ZXT,Nissan GTP ZXT,84,,Iracing,,,No,nissangtpzxt,77,
141,Pontiac Solstice,Pontiac Solstice,3,Solstice,Iracing,Sports Car,,Yes,solstice,3,
142,Pontiac Solstice - Rookie,Pontiac Solstice - Rookie,13,,Iracing,Sports Car,,Yes,solstice\rookie,10,
143,GT4 Class,Porsche 718 Cayman GT4 Clubsport MR,2268,Porsche 718 Cayman GT4,Iracing,Sports Car,,No,porsche718gt4,119,
144,Porsche 911 Cup (992.2),Porsche 911 Cup (992.2),4093,Porsche 911 Cup (992.2),Iracing,Sports Car,,No,porsche9922cup,208,
145,IMSA 23,Porsche 911 GT3 R (992),4091,Porsche 911 GT3 R (992),Iracing,Sports Car,,No,porsche992rgt3,169,
146,GTE,Porsche 911 RSR,100,,Iracing,,,No,porsche991rsr,102,
147,Porsche 919,Porsche 919,115,,Iracing,,,No,porsche919,100,
148,GTP,Porsche 963 GTP,4029,Porsche 963 GTP,Iracing,Sports Car,,No,porsche963gtp,174,
149,,Porsche Mission R,,,Iracing,,,No,porschemissionr,N/A,
150,,Pro Dirt Late Model,,,Iracing,,,No,dirtlatemodel\358,N/A,
151,Radical SR10,Radical SR10,3283,,Iracing,,,No,radical\sr10,149,
152,,Ruf RT 12R AWD,,,Iracing,,,No,rufrt12r\awd,N/A,
153,,Ruf RT 12R C-Spec,,,Iracing,,,No,rufrt12r\track\cspec,N/A,
154,,Ruf RT 12R RWD,,,Iracing,,,No,rufrt12r\rwd,N/A,
155,,Ruf RT 12R Track,,,Iracing,,,No,rufrt12r\track,N/A,
156,Silver Crown,Silver Crown,16,,Iracing,,,No,silvercrown,18,
