id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
9252,Vintage Touring Cars Tier 1,BMW 2002 Turbo,,VTC 1 BMW 2002 Turbo,AMS2,Sports Car,,Yes,,,bmw_2002_turbo
9253,Vintage Touring Cars Tier 1,Chevrolet Corvette C3,,VTC 1 Chevrolet Corvette C3,AMS2,Sports Car,,Yes,,,corvette_73
9254,Vintage Touring Cars Tier 1,Lamborghini Miura SV,,VTC 1 Lamborghini Miura SV,AMS2,Sports Car,Lamborghini 2,No,,,lamborghini_miura_sv
9255,Vintage Touring Cars Tier 2,Lotus 23,,VTC 2 Lotus 23,AMS2,Sports Car,,Yes,,,lotus_23
9256,Vintage Touring Cars Tier 2,MINI Cooper S,,VTC 2 MINI Cooper S,AMS2,Sports Car,,Yes,,,mini_coopers_1965
9257,LMP2 Gen 1,Ligier JS P217,,LMP2 Gen1 Ligier JS P217,AMS2,Sports Car,,Yes,,,ligier_js_p217
9258,LMP2 Gen 1,Oreca 07,,LMP2 Gen1 Oreca 07,AMS2,Sports Car,,Yes,,,oreca_07
9259,ARC,Aussie Racing Camaro,,ARC_Cam,AMS2,Sports Car,,Yes,,,arc_camaro
9260,Formula Edge,Formula Edge Model1,,FE-G1 M1,AMS2,Sports Car,,Yes,,,formula_edge_g1m1
9261,Formula Edge,Formula Edge Model2,,FE-G1 M2,AMS2,Sports Car,,Yes,,,formula_edge_g1m2
9262,Formula Edge,Formula Edge Model3,,FE-G1 M3,AMS2,Sports Car,,Yes,,,formula_edge_g1m3
9263,F-V8 Gen 1,F-V8 Gen 1 B,,F-V8_Gen1 B,AMS2,Open Wheel,,Yes,,,F-V8_Gen1 B
9264,F-V8 Gen 1,F-V8 Gen 1 M,,F-V8_Gen1 M,AMS2,Open Wheel,,Yes,,,F-V8_Gen1 M
9265,F-V8 Gen 1,F-V8 Gen 1 R26,,F-V8_Gen1 R26,AMS2,Open Wheel,,Yes,,,F-V8_Gen1 R26
9266,F-V8 Gen 2,F-V8 Gen 2,,F-V8 Gen2,AMS2,Open Wheel,,Yes,,,F-V8_Gen2
9267,F-V8 Gen 2,F-V8 Gen 2 R28,,F-V8 Gen2 r28,AMS2,Open Wheel,,Yes,,,F-V8_Gen2 r28
9268,Formula V10 Gen 3,F-V10 Gen 3 B,,F-V10_Gen3 B,AMS2,Open Wheel,,Yes,,,F-V10_Gen3 B
9269,Formula V10 Gen 3,F-V10 Gen 3 M,,F-V10_Gen3 M,AMS2,Open Wheel,,Yes,,,F-V10_Gen3 M
9270,Formula V10 Gen 3,Renault R25,,F-V10_Gen3 R26,AMS2,Open Wheel,,Yes,,,F-V10_Gen3 R26
